question_id,category,pass_fail,bottleneck_type
Q01,abstention,PASS,NO_BOTTLENECK
Q02,policy_definition,PASS,NO_BOTTLENECK
Q03,procedure,PASS,NO_BOTTLENECK
Q04,policy_definition,PASS,NO_BOTTLENECK
Q05,procedure,PASS,NO_BOTTLENECK
Q06,policy_definition,PASS,NO_BOTTLENECK
Q07,factual_lookup,PASS,NO_BOTTLENECK
Q08,procedure,PASS,NO_BOTTLENECK
Q09,procedure,PASS,NO_BOTTLENECK
Q10,policy_definition,PASS,NO_BOTTLENECK
Q11,procedure,PASS,NO_BOTTLENECK
Q12,policy_definition,PASS,NO_BOTTLENECK
Q13,policy_definition,PASS,NO_BOTTLENECK
Q14,procedure,PASS,NO_BOTTLENECK
Q15,factual_lookup,PASS,NO_BOTTLENECK
Q16,factual_lookup,FAIL,RETRIEVAL_RECALL_BOTTLENECK
Q17,policy_definition,FAIL,GENERATOR_BOTTLENECK
Q18,factual_lookup,PASS,NO_BOTTLENECK
Q19,factual_lookup,PASS,NO_BOTTLENECK
Q20,procedure,FAIL,RETRIEVAL_PRECISION_BOTTLENECK
